city,lon,lat,province
上海市,121.4737,31.2304,上海
南京市,118.7969,32.0603,江苏
无锡市,120.3124,31.4912,江苏
徐州市,117.2857,34.2048,江苏
常州市,119.974,31.8112,江苏
苏州市,120.5853,31.2989,江苏
南通市,120.8937,31.9811,江苏
连云港市,119.2229,34.5965,江苏
淮安市,119.0159,33.6106,江苏
盐城市,120.1638,33.3495,江苏
扬州市,119.4129,32.394,江苏
镇江市,119.4249,32.1898,江苏
泰州市,119.9229,32.4562,江苏
宿迁市,118.2752,33.9625,江苏
杭州市,120.1551,30.2741,浙江
宁波市,121.5504,29.8683,浙江
温州市,120.6994,28.0003,浙江
嘉兴市,120.7551,30.746,浙江
湖州市,120.088,30.8935,浙江
绍兴市,120.5802,30.0303,浙江
金华市,119.6476,29.0791,浙江
衢州市,118.8594,28.9702,浙江
舟山市,122.2072,29.9854,浙江
台州市,121.4206,28.6564,浙江
丽水市,119.9228,28.4676,浙江
合肥市,117.2272,31.8206,安徽
芜湖市,118.4334,31.3527,安徽
蚌埠市,117.3893,32.9155,安徽
淮南市,116.9998,32.6255,安徽
马鞍山市,118.5068,31.6692,安徽
淮北市,116.7983,33.9548,安徽
铜陵市,117.8115,30.9453,安徽
安庆市,117.0554,30.5429,安徽
黄山市,118.3387,29.7154,安徽
滁州市,118.3169,32.3018,安徽
阜阳市,115.8141,32.8905,安徽
宿州市,116.9642,33.6478,安徽
六安市,116.5219,31.7347,安徽
亳州市,115.779,33.8446,安徽
池州市,117.4917,30.6647,安徽
宣城市,118.7588,30.9407,安徽
